Name,Number,Age,Team ,Equipment Rating,Short Track Top 10's,Short Track Top 5s,Short Track Wins,Intermediate Top 10's,Intermediate Top 5s,Intermediate Wins,Road Course Top 10's,Road Course Top 5s,Road Course Wins,SuperSpeedway Top 10's,SuperSpeedway Top 5s,SuperSpeedway Wins,Championships
Quin Houff,0,24,Starcom Racing,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Kurt Busch,1,43,Chip Ganassi Racing,7,1,0,0,8,3,1,4,2,0,1,1,0,1
Brad Keselowski,2,37,Team Penske,9,2,1,0,12,7,0,1,1,0,2,2,1,1
Austin Dillon,3,31,Richard Childress Racing,7,1,0,0,5,0,0,0,0,0,2,1,0,0
Kevin Harvick,4,45,Stewart-Hass Racing,9,3,1,0,15,7,0,2,0,0,3,2,0,1
Kyle Larson,5,29,Hendrick Motorsports,10,3,2,1,16,13,6,5,5,3,2,0,0,1
Ryan Newman,6,43,Roush Fenway Racing,6,1,1,0,2,0,0,1,0,0,0,1,0,0
Corey LaJoie,7,30,Spire Motorsports,5,0,0,0,0,0,0,0,0,0,1,0,0,0
Tyler Reddick,8,25,Richard Childress Racing,7,2,0,0,8,1,0,4,1,0,2,1,0,0
Chase Elliott,9,25,Hendrick Motorsports,10,3,2,0,11,7,0,5,5,2,2,1,0,1
Aric Almirola,10,37,Stewart-Hass Racing,8,2,0,0,3,2,1,0,0,0,0,0,0,1
Denny Hamlin,11,40,Joe Gibbs Racing,9.5,5,4,0,13,11,2,5,4,0,2,1,0,0
Ryan Blaney,12,27,Team Penske,9,4,1,0,11,8,2,3,1,0,2,1,1,0
Chase Briscoe,14,26,Stewart-Hass Racing,8,0,0,0,0,0,0,3,0,0,0,0,0,0
James Davidson,15,34,Rick Ware Racing,3,0,0,0,0,0,0,0,0,0,0,0,0,0
A.J. Allmendinger,16,39,Kaulig Racing,7,0,0,0,0,0,0,3,2,1,0,0,0,0
Chris Buescher,17,29,Roush Fenway Racing,6,1,0,0,5,0,0,1,1,0,1,0,0,0
Kyle Busch,18,36,Joe Gibbs Racing,9.5,4,1,0,13,9,2,5,4,0,0,0,0,2
Martin Truex-Jr,19,41,Joe Gibbs Racing,9.5,5,4,2,12,8,2,3,2,0,0,0,0,1
Christopher Bell,20,26,Joe Gibbs Racing,9.5,3,2,0,8,2,0,4,2,1,1,1,0,0
Matt DiBenedetto,21,30,Wood Brothers,7,2,0,0,3,1,0,3,1,0,1,1,0,0
Joey Logano,22,31,Team Penske,9,5,3,1,7,4,0,4,3,0,1,1,0,1
Bubba Wallace,23,28,23XI Racing,7,0,0,0,1,1,0,0,0,0,2,2,1,0
Willam Byron,24,23,Hendrick Motorsports,10,5,3,0,13,8,1,1,0,0,1,1,0,0
Austin Cindric,33,23,Team Penske,9,0,0,0,0,0,0,2,0,0,0,0,0,0
Michael McDowell,34,36,Front Row Motorsports,6,0,0,0,1,0,0,1,0,0,2,2,1,0
Ryan Preece,37,31,JTG Daughty,6,0,0,0,1,0,0,1,0,0,2,1,0,0
Anthony Alfredo,38,22,Front Row Motorsports,5,0,0,0,0,0,0,0,0,0,1,0,0,0
Cole Custer,41,23,Stewart-Hass Racing,8,0,0,0,1,0,0,0,0,0,1,0,0,0
Ross Chastain,42,28,Chip Ganassi Racing,7,1,0,0,3,2,0,3,0,0,1,0,0,0
Erik Jones,43,25,Richard Petty Motorsports,6,3,0,0,1,0,0,1,0,0,1,0,0,0
Ricky Stenhouse-Jr,47,34,JTG Daughty,6,1,1,0,1,0,0,0,0,0,1,0,0,0
Alex Bowman,48,28,Hendrick Motorsports,10,3,3,2,8,5,1,3,0,0,0,0,0,0
Cody Ware,51,25,Rick Ware Racing,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Bilicki,52,26,Rick Ware Racing,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Joey Gase,53,28,Rick Ware Racing,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Haley ,77,22,Spire Motorsports,5,0,0,0,0,0,0,0,0,0,0,0,0,0
B.J. McLeod,78,37,Live Fast Racing,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Suarez,99,29,Team Trackhouse,6.5,1,1,0,3,0,0,0,0,0,0,0,0,0
